nome_marca,margem_media_perc
MaisChef,43.9
TopFoods,43.04
TopNatural,42.37
NutriMix,42.31
SaborGourmet,42.17
DelíciaPremium,42.17
MaisNatural,42.08
SaborBrasil,41.99
FrescoPremium,41.8
NutriChef,41.73
FrescoChef,41.67
SaborPlus,41.61
MaxBrasil,41.51
SaborNatural,41.41
BomChef,41.39
FrescoGourmet,41.39
DelíciaSelect,41.32
FrescoNatural,41.32
MaxNatural,41.24
MaxSelect,41.2
MaisGourmet,41.12
TopPremium,41.08
SaborPremium,41.05
PuraFoods,40.89
PuraPremium,40.87
DelíciaMix,40.83
DelíciaNatural,40.81
PuraMaster,40.55
VidaPremium,40.49
VidaPlus,40.34
SaborFoods,40.24
MaisPlus,40.22
PuraBrasil,39.95
TopBrasil,39.68
BomSelect,39.65
TopChef,39.54
MaxPremium,39.39
MaisMaster,39.28
MaxFoods,39.13
SaborChef,39.1
SaborMix,38.82
